Feature1,Feature2,Feature3,Feature4,Feature5,Target
39,54.44180415596864,10.772830826443371,0,16.755754032826772,1
18,53.91582908269834,56.415928129386266,0,29.421645379632437,1
4,50.07670184963691,31.409207415865716,0,42.68773939601984,0
89,46.481192999372794,58.33274095218348,1,13.998992301163417,1
60,28.769438869243785,58.18099885446264,0,4.720209996191256,1
14,43.69032015851961,52.650472773368,0,0.8719399369795726,1
9,44.85928225209846,24.722444603479282,0,15.012425404546256,0
90,37.96584096167572,29.254886430096263,0,8.17360407561493,1
53,47.580714325009865,52.556833575842845,0,5.520331253049737,1
2,56.060762852218076,25.846100257813884,1,23.682376754780904,1
84,78.29278851815795,18.474637334304624,1,1.1788020797188024,0
92,,37.840063122917506,0,6.7850510937295425,1
60,53.86325586084146,56.80773870803905,1,0.11418589432541669,0
71,48.883311263507494,44.80148983374865,0,6.323543695829263,0
44,21.21843177051438,38.50305850446825,0,0.5795043106592578,0
8,49.602291868261744,14.858824688538427,0,,0
47,50.9034531491154,40.750361334958484,0,1.2502623200745626,0
35,86.94863168727929,59.50269250521316,0,10.475683864069715,0
78,47.114585528283165,17.0042007618262,0,13.705977175964728,1
81,54.523210135004184,35.91648261818683,0,8.755537772028685,0
36,49.47932345442135,53.86865359639777,0,32.74720209102377,1
50,,47.03843088771022,0,4.697965779202672,1
4,67.14234221772531,44.8507870497634,0,3.364691574205587,0
2,61.27899549030161,45.12420419935546,0,20.295025381702295,1
6,61.865479205645705,27.97455756098776,1,2.530820677318534,1
54,36.35918817807892,24.679592213224666,1,33.028701062519104,1
4,71.04191466404149,50.46805777392568,1,0.12228944358969307,1
54,,50.50566973395904,1,35.02526922879482,0
93,58.80285640700406,53.35361592900519,1,0.4411899861850189,1
63,82.85683438714968,55.66202762782356,0,22.17721229160009,0
18,35.14195512303968,35.56711994304689,1,7.501432503493904,1
90,41.50553405595842,35.07581473435998,0,49.56828607926033,1
44,,49.91475894833876,0,0.7666137595445494,0
34,42.44786518825701,42.49819653888826,1,8.071096637333488,1
74,26.74004853400801,45.098343862885166,0,34.83575221256005,1
62,51.02844462209041,49.789633471805054,1,7.40443933181044,1
14,34.06544429410843,54.50026709087832,1,9.926282903811874,0
95,57.10388645952772,26.89975784257679,0,11.899012381167742,1
48,36.20863648649295,28.7791476319972,0,6.061277556769509,0
15,73.24901607526309,14.69909699204345,0,9.876741730080221,1
72,,38.9140070498087,0,8.778258618057556,0
78,45.16907725691487,11.797113689837104,0,,0
87,62.202758260545046,33.27990090662301,1,0.46511461743480975,1
62,31.53703525349067,37.13223173537883,1,3.2984272589875845,1
40,53.41189901906194,24.32706260641422,0,30.03996005860931,0
85,69.60714131423643,39.541663028450536,0,,0
80,25.88775148158159,11.52501249695247,0,6.0817526195962,1
82,52.769507877984566,11.86740943746072,0,9.679330287389773,0
53,53.89824191372635,51.13002803298291,0,3.2487341989513014,1
24,,28.009532070563143,0,2.084041614360645,1
26,31.445739336828773,16.35302563259424,0,6.230585988040987,1
89,30.193150803735854,36.11216300274022,0,4.359535346167334,1
52,55.15427434352692,46.297783943511966,0,19.548391571662492,0
93,23.55439766955899,54.85551299762886,1,5.603556094421597,1
15,54.86125954092192,54.354321213255865,0,13.89784716495461,0
